Site ID,Program Code,Program Name,Address 1,Address 2,Zipcode,Program Type,Enrollment,Daily Start Time,Length of Pre-K Day,Early Drop-Off Available,Late Pick-Up Available,Meals,Playspace,Dual Language,Collaborative Teachers - Survey Percent Positive,Supportive Environment - Survey Percent Positive,Effective School Leadership - Survey Percent Positive,Strong Family-Community Ties - Survey Percent Positive,Trust - Survey Percent Positive,Survey - Number of Guardian Responses,Survey - Guardian Response Rate,CLASS Most Recent Assessment Year,CLASS Emotional Support Score,CLASS Emotional Support Rating,CLASS Classroom Organization Score,CLASS Classroom Organization Rating,CLASS Instructional Support Score,CLASS Instructional Support Rating,ECERS Most Recent Assessment Year,ECERS Observation Average Score,ECERS Observation Average Rating,ECERS Language Reasoning Score,ECERS Language Reasoning Rating,ECERS Interaction Score,ECERS Interaction Rating,ECERS Activities Score,ECERS Activities Rating,ECERS Personal Care Routines Score,ECERS Personal Care Routines Rating,ECERS Space and Furnishings Score,ECERS Space and Furnishings Rating,ECERS Program Structure Score,ECERS Program Structure Rating,Total.ECERS,Quality Review - Date of Review,Quality Review - How well do teachers work with each other?
02M281,02M281,The River School,425 East 35th Street,"New York, NY 10016",10016,District School,34,8:30 AM,6 hr 20 mins,No,Yes,Contact program directly for details,Please contact site for more information,,96%,96%,95%,97%,97%,21,66%,2015-16 School Year,6.8,4,6.8,4,3.3,3,2013-14 School Year,4.4,3,5.3,4,5.2,4,4.2,3,3.8,4,4.1,3,4.3,3,55.3,16-Apr-15,3
02M340,02M340,Sixth Avenue Elementary School,590 Sixth Avenue,"New York, NY 10011",10011,District School,70,8:20 AM,6 hr 20 mins,No,Yes,Breakfast/Lunch,Indoor/Outdoor (onsite) playspace,,99%,99%,98%,98%,100%,32,50%,2015-16 School Year,6.6,4,6.8,4,2.8,2,2014-15 School Year,3.8,3,3.5,3,5.8,4,2.4,1,2.6,3,4.3,3,5.3,4,48.7,17-Apr-15,3
02M343,02M343,The Peck Slip School,1 Peck Slip,"New York, NY 10038",10038,District School,36,8:30 AM,6 hr 20 mins,No,No,Contact program directly for details,Please contact site for more information,,98%,98%,99%,98%,99%,26,74%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2015-16 School Year,3.3,2,3.8,3,5,4,2.9,1,2.5,3,3.4,3,3,2,41.9,"Nov 21, 2014",3
Z031,02Z031,District 2 Pre-K Center at The River School,425 East 35th Street,"New York, NY 10016",10016,Pre-K Center,83,8:10 AM,6 hr 20 mins,No,No,Contact program directly for details,Please contact site for more information,,NA,94%,86%,93%,93%,45,58%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2015-16 School Year,5.8,4,6,4,6.4,4,6.1,4,3.8,4,6.3,4,6.7,4,69.1,,
Z032,02Z032,District 2 Pre-K Center at P.S. 51 Elias Howe,525 West 44th Street,"New York, NY 10036",10036,Pre-K Center,20,8:30 AM,6 hr 20 mins,No,No,Contact program directly for details,Please contact site for more information,,NA,100%,100%,98%,100%,14,78%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2015-16 School Year,5.6,4,6,4,5.8,4,6,4,4.2,4,5.5,4,6,4,67.1,,
Z033,02Z033,District 2 Pre-K Center at Sixth Avenue Elementary School,590 Sixth Avenue,"New York, NY 10011",10011,Pre-K Center,44,8:50 AM,6 hr 20 mins,No,No,Contact program directly for details,Please contact site for more information,,NA,98%,90%,95%,97%,26,67%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2015-16 School Year,5.4,4,6.3,4,5.8,4,6.4,4,3.2,3,5.3,4,5.5,4,64.9,,
Z034,02Z034,District 2 Pre-K Center at P.S. 343 The Peck Slip School,1 Peck Slip,"New York, NY 10038",10038,Pre-K Center,39,8:45 AM,6 hr 20 mins,No,No,Contact program directly for details,Please contact site for more information,,NA,99%,95%,97%,97%,24,67%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2015-16 School Year,6,4,6.3,4,6.4,4,6.4,4,5,4,5.6,4,6.8,4,70.5,,
Z015,02Z015,District 2 Pre-K Center at 2-26 Washington St,2-26 Washington Street,"New York, NY 10004",10004,Pre-K Center,14,8:40 AM,6 hr 20 mins,No,No,Contact program directly for details,Please contact site for more information,,NA,100%,95%,97%,100%,8,73%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2015-16 School Year,5.9,4,6.8,4,6.4,4,6.5,4,3.5,3,6,4,6.7,4,68.8,,
Z065,02Z065,District 2 Pre-K Center at 52 Chambers Street,52 Chambers Street,"New York, NY 10007",10007,Pre-K Center,34,8:40 AM,6 hr 20 mins,No,No,Contact program directly for details,Please contact site for more information,,NA,100%,97%,96%,98%,24,83%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2015-16 School Year,4.7,3,6,4,4.8,3,5.8,4,3,3,4.5,3,3.3,2,54.1,,
02M397,02M397,Spruce Street School,12 Spruce Street,"New York, NY 10038",10038,District School,35,Contact program about start time,6 hr 20 mins,Contact program about extended hours,Contact program about extended hours,Breakfast/Lunch/Snack(s),Indoor/Outdoor (onsite) playspace,,84%,100%,98%,98%,100%,18,51%,2014-15 School Year,5.8,3,5.6,3,3.2,2,2015-16 School Year,3.9,3,5.3,4,6.4,4,3.7,3,2.3,3,3,2,3.7,3,50.3,"December 8, 2015",4
03M009,03M009,P.S. 9 Sarah Anderson,100 West 84th Street,"New York, NY 10024",10024,District School,18,8:30 AM,6 hr 20 mins,No,No,Breakfast/Lunch,Please contact site for more information,,99%,100%,100%,97%,100%,9,53%,2015-16 School Year,6.8,4,6.2,4,2.2,2,2014-15 School Year,3.7,3,4.5,3,5.4,4,3.8,3,1.6,2,3.4,3,3.3,2,45.7,"January 20, 2015",4
03M076,03M076,P.S. 76 A. Philip Randolph,220 West 121st Street,"New York, NY 10027",10027,District School,49,8:20 AM,6 hr 20 mins,Yes,Yes,Breakfast/Lunch/Snack(s),Indoor/Outdoor (onsite) playspace,,86%,100%,100%,92%,100%,14,32%,2014-15 School Year,6.2,4,6.6,4,3.5,3,2015-16 School Year,2.4,1,3,2,3,2,2.2,1,1.2,1,3,2,1.7,1,26.5,"November 13, 2015",3
