"","X.zip_hs.","X.hs.","lon","lat"
"435","11221","EBC High School for Public Service - Bushwick",-73.9292674,40.6947519
"436","11237","Bushwick School for Social Justice",-73.9117231,40.6968124
"437","11237","Academy of Urban Planning",-73.9117231,40.6968124
"438","11237","All City Leadership Secondary School",-73.9130973,40.6975906
"439","11221","Bushwick Leaders High School for Academic Excellen",-73.9274444,40.6953387
"440","11211","Williamsburg Collegiate Charter School",-73.9620195,40.7059027
"441","11203","Achievement First Crown Heights Charter School",-73.9361667,40.6622324
"442","11213","KIPP AMP Charter School",-73.937315,40.6717781
"443","11207","Achievement First East New York Charter School",-73.8932587,40.6637837
"444","11207","The Uft Charter School",-73.8855899,40.6598508
"445","11206","Williamsburg Charter High School",-73.9358033,40.7035099
"446","11238","Achievement First Endeavor Charter School",-73.965849,40.6823171
"447","11216","Leadership Prep Bedford Stuyvesant Uncommon Prep C",-73.9455003,40.6818439
"448","11207","Achievement First Bushwick Charter School",-73.9102637,40.6889123
"449","11233","Excellence Boys Charter School",-73.9259532,40.6834471
"450","11212","Kings Collegiate Charter School",-73.9203827,40.6579108
"451","11221","Bedford Stuyvesant Collegiate -Uncommon Collegiate",-73.9320354,40.6877135
"452","11212","Brooklyn Ascend Charter School",-73.9207031,40.6620556
"453","11222","Northside Charter High School",-73.9484445,40.7194214
"454","11218","Brooklyn Prospect Charter School",-73.9785505,40.6480264
"455","11212","Brownsville Collegiate Charter School",-73.9051131,40.6686541
"456","11231","Summit Academy Charter School",-74.0047002,40.6775869
"457","11221","Math, Engineering, and Science Academy Charter Hig",-73.9156662,40.695375
"458","10463","New Visions Charter High School for Advanced Math",-73.9132447,40.8775227
"459","10455","New Visions Charter High School for the Humanities",-73.907344,40.8106302
"460","11214","Coney Island Preparatory Public Charter School",-73.9938545,40.5943989
"461","11233","Ocean Hill Collegiate Charter School",-73.9159194,40.6780824
"462","11216","Brooklyn East Collegiate Charter School",-73.9483771,40.6844639
"463","10027","Democracy Prep Endurance Charter School",-73.9490765,40.8107449
"464","10026","The Opportunity Charter School",-73.955707,40.8014375
"465","10027","Harlem Children's Zone Promise Academy 1 Charter S",-73.9482207,40.8124461
"466","10035","Harlem Village Academy Leadership Charter School",-73.9335157,40.7992477
"467","10031","KIPP Infinity Charter School",-73.9566639,40.8201256
"468","10035","Harlem Children's Zone Promise Academy II Charter",-73.9385608,40.806962
"469","10027","Democracy Prep Charter School",-73.9490765,40.8107449
"470","10026","Success Academy Charter School - Harlem 1",-73.9485575,40.8031323
"471","10031","New Heights Academy Charter School",-73.9454018,40.8286152
"472","10029","Renaissance Charter High School for Innovation",-73.9423217,40.7853407
"473","10034","Inwood Academy for Leadership Charter School",-73.920884,40.8690084
"474","10030","Democracy Prep Harlem Charter School",-73.945122,40.814412
"475","10013","Broome Street Academy Charter School",-74.005176,40.7240962
"476","10027","Harlem Village Academy Charter School",-73.9456002,40.8067082
"477","10031","KIPP STAR College Prep Charter School",-73.9567465,40.8197016
"478","67301","Renaissance Charter School",-95.712891,37.09024
"479","10314","John W. Lavelle Preparatory Charter School",-74.1797089,40.605437
"480","10459","Bronx Lighthouse Charter School",-73.897151,40.8234049
"481","10474","Hyde Leadership Charter School",-73.8855307,40.8155695
"482","10463","International Leadership Charter High School",-73.9092123,40.8809237
"483","10455","University Prep Charter High School",-73.912008,40.8148043
"484","10451","NYC Charter High School for Architecture, Engineer",-73.9105384,40.8218406
"485","10453","Charter High School for Law and Social Justice",-73.911792,40.853949
"486","10456","Dr. Richard Izquierdo Health and Science Charter S",-73.9005875,40.8273541
"487","10473","The Equality Charter School",-73.8495502,40.8212146
"488","10457","Bronx Preparatory Charter School",-73.900106,40.8389683
"489","10451","KIPP Academy Charter School",-73.923794,40.821482
