"","X.zip.","X.ems.","lon","lat"
"183","10034","Muscota",-73.9238182,40.8665218
"184","10032","M.S. 319 - Maria Teresa",-73.9357677,40.8394126
"185","10040","Middle School 322",-73.9300119,40.8608344
"186","10032","M.S. 324 - Patria Mirabal",-73.9357719,40.8394084
"187","10032","Community Math & Science Prep",-73.9369832,40.8370405
"188","10032","Community Health Academy of the Heights",-73.9422627,40.8336419
"189","10033","Washington Heights Expeditionary Learning School",-73.9310992,40.8491088
"190","75032","Harbor Heights",-96.4758278,32.8939913
"191","10034","Washington Heights Academy",-73.9216022,40.8655733
"192","46030","Hamilton Heights School",-86.0266502,40.1759908
"193","10032","Castle Bridge School",-73.9387553,40.8410253
"194","10033","I.S. 528 Bea Fuller Rodgers School",-73.9346974,40.8506755
"195","10451","P.S. 001 Courtlandt School",-73.9194097,40.8191007
"196","10455","P.S. 5 Port Morris",-73.908689,40.8135612
"197","10451","P.S. 018 John Peter Zenger",-73.9229205,40.816462
"198","10455","P.S. 025 Bilingual School",-73.9056831,40.8127342
"199","10451","P.S./M.S. 029 Melrose School",-73.9169724,40.8214439
"200","10454","P.S. 030 Wilton",-73.9178871,40.8091669
"201","10451","P.S./M.S. 031 The William Lloyd Garrison",-73.921389,40.8226524
"202","10454","P.S. 043 Jonas Bronck",-73.9214243,40.8064193
"203","10454","P.S. 049 Willis Avenue",-73.9226177,40.8104968
"204","10454","P.S. 065 Mother Hale Academy",-73.912743,40.8076622
"205","10451","J.H.S. 151 Lou Gehrig",-73.9216284,40.8225886
"206","10454","P.S. 154 Jonathan D. Hyatt",-73.9257606,40.8082438
"207","10456","P.S. 157 Grove Hill",-73.9091997,40.8193893
"208","10455","P.S. 161 Juan Ponce De Leon School",-73.9054424,40.8144412
"209","11218","P.S. 179",-73.9773047,40.6402852
"210","10454","South Bronx Preparatory: A College Board School",-73.9206428,40.8137231
"211","10454","The Laboratory School of Finance and Technology: X",-73.920879,40.813829
"212","10454","P.S./I.S. 224",-73.9186219,40.8101969
"213","10455","P.S. 277",-73.913666,40.8133349
